title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
SWE-Replay: Efficient Test-Time Scaling for Software Engineering Agents,"Y Ding, L Zhang",2026,3,… of Large Language Model (LLM) agents in software … lower average costs across all agent scaffolds and LLM backends. Specifi… Allocating test-time computation to sample multiple candi…,nWe0sK5qRX0J,"Y Ding, L Zhang - arXiv preprint arXiv:2601.22129, 2026 - arxiv.org",[],https://arxiv.org/abs/2601.22129,unknown,unknown
Timely machine: Awareness of time makes test-time scaling agentic,"Y Ma, L Li, Y Chen, P Li, X Li, Q Guo…",2026,3,"… By varying tool latency, we find smaller models excel with … and data volumes of Large Language Models (LLMs) continue … making autonomous agents more efficient and reliable in time-…",mXBG48GHmQkJ,"Y Ma, L Li, Y Chen, P Li, X Li, Q Guo… - Proceedings of the …, 2026 - aclanthology.org",[],https://aclanthology.org/2026.acl-long.211/,unknown,unknown
On the role of feedback in test-time scaling of agentic ai workflows,"S Chakraborty, M Pourreza, R Sun, Y Song…",2025,4,"… our experiments, where agents must generate correct shell … Vision-language models are used to handle the multi-modal … baselines as a test-time compute approach to demonstrate the …",h4Gj9IRGAxgJ,"S Chakraborty, M Pourreza, R Sun, Y Song… - arXiv preprint arXiv …, 2025 - arxiv.org",[],https://arxiv.org/abs/2504.01931,unknown,unknown
Scaffolded Language Models with Language Supervision for Mixed-Autonomy: A Survey,"M Lin, J Sheng, A Zhao, S Wang, Y Yue…",2024,0,"… We identify two types of scaffold—agents and workflows—… scaling, test-time compute. Similar examples can be found in … to agents, they are rendered more predictable and reliable by …",P60Y_HHaCT8J,"M Lin, J Sheng, A Zhao, S Wang, Y Yue… - arXiv preprint arXiv …, 2024 - arxiv.org",[],https://arxiv.org/abs/2410.16392,unknown,unknown
"A survey on test-time scaling in large language models: What, how, where, and how well?","Q Zhang, F Lyu, Z Sun, L Wang, W Zhang…",2025,160,… the reliability and robustness of model predictions at test time. … the interaction between agents and their environment to … 2023) find out that an agent’s intrinsic performance scales as …,7bdj9YPdLyoJ,"Q Zhang, F Lyu, Z Sun, L Wang, W Zhang… - arXiv preprint arXiv …, 2025 - arxiv.org",[],https://arxiv.org/abs/2503.24235,unknown,unknown
Agentic reasoning for large language models,"T Wei, TW Li, Z Liu, X Ning, Z Yang, J Zou…",2026,41,"… These models rely on scaling test-time computation, improving accuracy by increasing model … Such formalization provides structural scaffolds for agent behavior and often enhances …",TGvzL-PohtoJ,"T Wei, TW Li, Z Liu, X Ning, Z Yang, J Zou… - arXiv preprint arXiv …, 2026 - arxiv.org",[],https://arxiv.org/abs/2601.12538,unknown,unknown
Reasoning in Large Language Models: From Chain-of-Thought to Massively Decomposed Agentic Processes,"Y Lei, J Xu, CX Liang, Z Bi, X Li, D Zhang, J Song, Z Yu",2025,2,… models as their constituent agents. A key insight emerging from recent research is the relationship between test-time compute and training-time compute . … reasoning scaffolds serve …,ySUT5ZJwKEoJ,"Y Lei, J Xu, CX Liang, Z Bi, X Li, D Zhang, J Song, Z Yu - 2025 - preprints.org",[],https://www.preprints.org/manuscript/202512.2242,unknown,unknown
"Beyond the Leaderboard: A Synthesis of Tool-Use, Planning, and Reasoning Failures in Large Language Model Agents","W Albayaydh, R Zhao, I Flechais",2026,0,"… additional scaffolding does not uniformly improve reliability. We … Fourth, we identify a small number of structural patterns — non-… test-time computation, we suggest reporting the accuracy-…",qWbbgUHuljYJ,"W Albayaydh, R Zhao, I Flechais - arXiv preprint arXiv:2607.05775, 2026 - arxiv.org",[],https://arxiv.org/abs/2607.05775,unknown,unknown
AgentTTS: Large language model agent for test-time compute-optimal scaling strategy in complex tasks,"F Wang, H Liu, Z Dai, J Zeng, Z Zhang…",2026,13,… and small models; (2) Increasing test-time compute … compute yields diminishing or no gains; (3) The compute allocated to earlier subtasks influences the scaling dynamics and compute …,L9a-tLT6MysJ,"F Wang, H Liu, Z Dai, J Zeng, Z Zhang… - Advances in …, 2026 - proceedings.neurips.cc",[],https://proceedings.neurips.cc/paper_files/paper/2025/hash/8d9bbba8cac9cabb54e85ee7f21441c8-Abstract-Conference.html,unknown,unknown
Thinking vs. doing: Agents that reason by scaling test-time interaction,"J Shen, H Bai, L Zhang, Y Zhou, A Setlur…",2025,23,… models have enabled a shift from static language models to … Scaffolded foundation models as web agents. Prior works … While this results in better use of total overall test-time compute …,k-jBfvX29qcJ,"J Shen, H Bai, L Zhang, Y Zhou, A Setlur… - arXiv preprint arXiv …, 2025 - arxiv.org",[],https://arxiv.org/abs/2506.07976,unknown,unknown
Researchgym: Evaluating language model agents on real-world ai research,"A Garikaparthi, M Patwardhan, A Cohan",2026,8,… We additionally evaluate proprietary agent scaffolds including … We calculate normalized performance as Agent’s score / … during test-time adaptation: MADER uses “reliability-aware …,4-VOIvCuBTUJ,"A Garikaparthi, M Patwardhan, A Cohan - arXiv preprint arXiv:2602.15112, 2026 - arxiv.org",[],https://arxiv.org/abs/2602.15112,unknown,unknown
Inference-time scaling of verification: Self-evolving deep research agents via test-time rubric-guided verification,"Y Wan, T Fang, Y Huo, W Wang, H Mi…",2026,15,"… Agents (DRAs), powered by large language models (LLMs) … the decomposition agent to first produce a compact, step-… , we calculate the standard precision, recall, accuracy, and F1 …",0dnRilV9dNoJ,"Y Wan, T Fang, Y Huo, W Wang, H Mi… - Findings of the …, 2026 - aclanthology.org",[],https://aclanthology.org/2026.findings-acl.1243/,unknown,unknown
